id,name,eg_id,author,description,publisher,category,tags,quantity
11,Amazon Web Services クラウドデザインパターン実装ガイド　改訂版,EG000011,"大澤 文孝  (著), アマゾン データ サービス ジャパン 玉川 憲 (監修), & 3 その他",クラウドサービス「Amazon Web Services(AWS)」を活用してWebサイトやシステムを構築するための実践書です。\nAWSでアカウントを作成して仮想サーバーを立てるところからはじめ、Webサーバーをインストールしたり、\nIPアドレスを割り当てたり、操作画面を付けて丁寧に説明します。\n\nさらに、定型的な設計パターンを使って、画像動画配信サイトやEコマースサイトなどの構築まで実践します。\n手順に沿って進むだけで、インターネットストレージ、データベースサービス、DNSサービス、\n仮想ロードバランサーなど、AWSの各種サービスを使いこなせるようになります。\n\n初めてAWSを利用する人から、AWSのサービスを使いこなせるようになりたい人まで必見の書です。,日経BP,技術書,AWS インフラ クラウド,1
12,Amazon Web Services パターン別構築・運用ガイド 改訂第2版 (Informatics&IDEA),EG000012,"NRIネットコム株式会社 (著), 佐々木 拓郎  (著), 林 晋一郎  (著), 小西 秀和 (著)",AWSのサービスの概要と導入方法を徹底解説\n\nAWS(Amazon Web Services)によるクラウドシステム構築・運用のノウハウを紹介。\n\nAWSの主要サービスの概要から、サービスを活用したクラウド上でのシステムの構築手順と設定方法を詳細に解説します。目的に応じたサーバ構築方法と、サービスの選び方を徹底的に丁寧に解説します。\n\nAWSマネジメントコンソールからの設定に加えて、CLIやSDKを使った実践的な技術も掲載。企業などへのAWS導入の全ての工程に関わった著者陣による、現場で培った実践的なノウハウが凝縮された一冊です。\n\nWebサービスや自社サイトのシステム構築にAWSの導入を考えている人、WordPressを使ったサイトの公開を考えている人、とにかくAWSについて知りたい人、AWSに興味を持つ全ての人にお勧めです。\n\n■本書で紹介するAWS活用例\n・EC2を利用した動的サイトの構築\n・Elastic Beanstalkによる構築レスな動的サイト\n・S3による静的サイトの構築\n・CloudFrontによるコンテンツ配信システムの構築\n・Auto Scalingを利用した自動拡張構成\n・Lambdaを利用したバックエンド処理の実装\n・CloudFormationによる自動構築\n・SESによるメール送信サービスの構築\n・Cogniteによる認証\n・開発環境の構築と継続的インテグレーション\n・AWSにおけるセキュリティの考え方と強化方法\n・AWSのアカウントを安全に設計運用する方法\n・CloudWatchを利用した運用監視\n・データのバックアップやアーカイブの方法,SBクリエイティブ,技術書,AWS インフラ クラウド,1
13,プログラマのためのGoogle Cloud Platform入門 サービスの全体像からクラウドネイティブアプリケーション構築まで,EG000013,"阿佐 志保  (著), 中井 悦司  (著), 中井悦司  (監修)",インフラ基礎知識とセットで学ぶ！\nGoogle Cloud Platformの機能＆システム構築パターン！\n\n本書は、Google Cloud Platform（GCP）でシステム、アプリケーションを\n構築するための実践的な入門書です。\n\nGCPを初めて利用する開発者をメインターゲットとし、GCPの提供する\nサービス（コンポーネント）の全体像と、サービスを組み合わせて最適な\nアプリケーションアーキテクチャを実現する方法を、具体的なサンプルを\n使ってわかりやすく解説します。\n\nWebアプリケーションを動かす具体的な手順の解説に加えて、コンテナ、\nオーケストレーションといったテーマもカバーするため、業務で本格的な\n利用を考えている方にも適しています。\n\n単にGCPの使い方を説明する手順書にとどまらず、GCPを利用する上で\n理解しておきたいインフラの基礎技術などを解説することで、技術動向の\n変化が激しいクラウドの解説書でありながらも陳腐化を最小化するよう\n工夫しています。\n\nまた、GCPの強みであるクラウドネイティブなアーキテクチャによる\nアプリケーション実行環境の構築をサンプルとして挙げているのも\n大きな特徴です。本書の強みは、具体的なサンプルを使って丁寧に\n説明することで、GCPの良さを体得してもらえるところにあります。\n\nGCPの利用や導入を検討している／初めて使う、あるいは、AWSなど\n他のクラウドを使ったことがあるプログラマ／開発者の方におすすめの\n一冊です。,翔泳社,技術書,GCP インフラ クラウド,1
14,GCPの教科書,EG000014,吉積礼敏  (著),【対象読者】\n本書は、自他共に認めるGoogle CloudPlatform(以下、GCP)マニアであるクラウドエースが、\nGCP をぜひ皆さんに使っていただきたいと考えて執筆したものです。\n「GCPを使ってみたいけど使い方がよく分からない」方から、\n「ある程度使っているけれども使いこなせてはないかも?」というクラウドに関して初級から中級の技術者の方を対象にしています。\n\n【本書の内容】\nGCPに触れたことのない方には、まずは触ってみて体感すること、\n次に基礎的なことを押さえて効果的によりたくさんのプロダクトを活用できるようになることを体系的に解説した「教科書」です。\nクラウドエンジニア必携の一冊です。\n\n【本書の効用とゴール】\n本書では、GCPの機能・操作法や他のクラウドとの比較など、\nひととおり解説してありますので、GCPの基本・特徴については理解できます。\nGCP を理解し、触ってみて、今後の「クラウドネイティブ時代」を生きる一助となるべく一冊です。,リックテレコム,技術書,GCP インフラ クラウド,1
15,エリック・エヴァンスのドメイン駆動設計,EG000015,"Eric Evans (著), 和智右桂  (翻訳), 牧野祐子 (翻訳), 今関剛 (監修)",ドメイン駆動設計の定番書　問題解決にフォーカスした設計パターン\n\n「この本は、思慮深いソフトウェア開発者全員の必携書である。」\n---Kent Beck 氏推薦\n\n「Eric が見事にとらえたのは、熟練のオブジェクト設計者が常々用いてきた設計プロセスの\n一部でありながら、グループとして見ると、この業界の他の人々へうまく伝えられずにいたものだ。\nこれまで我々は、この知識を断片的には提供してきた。\nしかし、ドメインロジックを構築するための原理をまとめ上げ、体系化したことはなかった。\n本書は重要である。」\n---『Enterprise Java Programming with IBM WebSphere』の著者 Kyle Blown氏 推薦\n\nソフトウェア開発コミュニティでは、ドメインモデリングがソフトウェア設計の中心であることが広く認められてきています。ドメインモデルを通して、ソフトウェア開発者は豊富な機能を表現し、それをユーザの要求に本当の意味で応えるソフトウェアの実装に移すことができます。しかし、明らかに重要であるにもかかわらず、効果的なドメインモデリングをどのようにソフトウェア開発プロセスに組み入れるかを説明する、実用的なリソースはほとんど存在しませんでした。ドメイン駆動設計はこの要求に応えるものです。これは具体的な技術についての本ではなく、読者にドメイン駆動設計への体系的なアプローチを提示するものです。設計のベストプラクティスの応用的なセット、経験に基づくテクニック、さらに、複雑なドメインに直面するソフトウェアプロジェクトにおける開発を容易にする基本原則を紹介する一冊です。\n\n【原書タイトル】Domain-Driven Design: Tackling Complexity in the Heart of Software\n本書で学べること\nチームメンバー全員に同じ言語で会話をさせる\nモデルと実装をより深く結びつける\nポイントとなる特徴を、モデルにおいてはっきりさせる\nドメインオブジェクトのライフサイクルを管理する\n安全に結合できるドメインコードを入念に作成する\n複雑なコードを明白で予測できるものにする\nドメインビジョン声明文を記述する\n複雑なドメインのコアを蒸留する\nモデルに必要な、暗黙的な概念を掘り出す\nアナリシスパターンを適用する\nデザインパターンをモデルに関係づける\n巨大なシステムでモデルの整合性を維持する\n同じプロジェクトで複数のモデルが共存できるようにする\n大規模な構造によりシステムを構成する\nモデリングのブレイクスルーを認識して、それに対応する\n著者紹介　　Eric Evans（エリック・エヴァンス）\n\nEric Evansは、Domain Languageの創設者である。このコンサルティンググループは、企業の手助けをして、ビジネスと深く結びついた、進化するソフトウェアを構築するために設立された。1980 年代以来、Ericはいくつかの複雑なビジネスドメインや技術ドメインにおける巨大なオブジェクト指向システムに対し、設計者兼プログラマとして取り組んできた。また、エクストリームプログラミングを実践する開発チームの教育と指導も行っている。,翔泳社,技術書,ドメイン駆動設計 DDD プログラミング,1
16,レガシーコード改善ガイド,EG000016,"マイケル・C・フェザーズ  (著), 平澤章  (翻訳), 越智典子 (翻訳), 稲葉信之 (翻訳)",保守開発のためのリファクタリング！\n\n本書は、システム保守の現場でありがちな、構造が複雑で理解できないようなコードに対する分析手法・対処手法について解説します。つまり、「コードを理解し、テストできるようにし、リファクタリングを可能にし、機能を追加できるテクニックを紹介している書籍です。\n\n本書には、以下のことが記載されています。\n●仕様が分からないコードの分析方法\n●仕様が分からないコードの修正方法、またテストコードの追加方法\n●コードの修正で、疎結合な設計に部分的に改善する方法\nまた、本書には、以下のことは記載されていません。\n●COBOLなどで記述されているメインフレーム上のアプリケーションの改修方法\n\n【 対象読者】\n●現行のシステムが仕様が分からず保守作業に悩む、保守担当者\n●現行のシステムの修正作業は可能であるもののデグレーションに悩む、保守担当者\n●疎結合な設計手法を知りたい技術者\n\n本書はJava、C、C++でサンプルを記述していますが、記載されているテクニックは言語依存するものではないため、他の言語（Delphi、Visual Basic、COBOL、FORTRAN）でも使えます。,翔泳社,技術書,設計 リファクタリング プログラミング,1
17,新装版　リファクタリング　既存のコードを安全に改善する,EG000017,"ＭａｒｔｉｎＦｏｗｌｅｒ (著), 児玉公信 (翻訳), 友野晶夫 (翻訳), 平澤章  (翻訳)",プログラムに潜む扱いにくい部分を見つけ出し、その動作を変えずに内部の構造を改善していくためのテクニックを整理したマーティン・ファウラー氏によるソフトウェア開発の名著『リファクタリング プログラミングの体質改善テクニック』（“Refactoring:Improving the Design of Existing Code”）が、オリジナルの訳者による丁寧な見直しと現代的なJava開発環境による「再リファクタリング」を施した書き下ろし付録を収録して再発行！\n旧版の価値を知るベテランはもちろん、これからソフトウェア開発に携わる新人にも必読の一冊です。,オーム社,技術書,リファクタリング Java プログラミング,1
18,ユースケース駆動開発実践ガイド,EG000018,"ダグ・ローゼンバーグ (著), マット・ステファン  (著), 三河淳一 (翻訳)",実装部分も時流に即したオブジェクト指向分析／設計の指南書！\n\n本書は最小限のUMLのコアサブセットと、ユースケースからオブジェクト指向ソフトウェア設計を導出するための思考プロセス（両者はまとめてICONIXと呼ばれています）についてを、空論ではなく実践の視点から説明しています。\n\nICONIXプロセスはユースケースとUML/オブジェクト指向分析・設計を扱うほかの多くの手法よりもプログラマにはなじみやすいものです。というのも、ICONIXプロセスはプログラマがユースケースを効果的に利用できるように、具体的かつ現実的、そして要求されたシステムの振る舞いを明確に言明するようなユースケースを作成させるからです。\n\n「序文」および「イントロダクション」より,翔泳社,技術書,設計,1
19,カイゼン・ジャーニー たった1人からはじめて、「越境」するチームをつくるまで,EG000019,"市谷 聡啓  (著), 新井 剛 (著)",「日本の現場」に寄り添った、アジャイル開発の実践！\n現場のストーリーで、開発の神髄を学ぼう\n\n【本書の特徴】\n・現場のストーリーから、考え方とプラクティスを一緒に学べる\n・1人でも始められる業務改善の手法から、チームマネジメントの手法まで解説\n・日本の現場を前提にしているので、実践しやすい\n・アジャイルをこれから始める人だけでなく、もっとうまく実践したい人にも最適\n\n【あらすじ】\nITエンジニアとしてSIer企業に勤務する江島は、\n問題だらけのプロジェクト、やる気のない社員たちに嫌気が差していた。\n\nそんな中、ある開発者向けイベントに参加したことがきっかけで、\nまずは自分の仕事から見直していこうと考える。\n\nタスクボードや「ふりかえり」などを1人で地道に続けていると、\n同僚が興味を示したため、今度は2人でカイゼンに取り組んでいく。\n\nここから、チームやクライアントを巻き込んだ、現場の改革がはじまる。\n\nチーム内の軋轢、クライアントの無理難題、迫りくるローンチ……\nさまざまな困難を乗り越え、江島がたどり着いた「越境する開発」とは。\n\n【筆者コメント（「あとがき」より）】\n良い問いは人を立ち返らせてくれます。\nそのような問いは人によって異なるでしょう。\n\n読者のみなさんにとっての良い問いと出会えるよう、\n江島（本書の主人公）同様、自分がいる場所から外に出て、\nいろいろと見聞きしてみてください。\n\nもちろんこの本があなたにとっての\n良い問いになることを願っています :),翔泳社,技術書以外,スクラム,1
20,アルゴリズム図鑑 絵で見てわかる26のアルゴリズム,EG000020,"石田保輝 (著), 宮崎修一  (著)",イメージがつかめるから、面白い！\nアルゴリズムをまるごとイラストにしました\n\n【本書のポイント】\n・基本的な26のアルゴリズム＋7つのデータ構造をすべてイラストで解説\n・誌面がフルカラーなので、図の「動き」がわかりやすい\n・各アルゴリズムの考え方や計算効率、問題点もフォロー\n・50万人が学んだ大人気アプリを書籍化\n\nアルゴリズムはどんな言語でプログラムを書くにしても不可欠ですが、\n現場で教わることはめったになく、かといって自分で学ぶには難しいものです。\n\n本書は、アルゴリズムを独学する人のために作りました。\nはじめて学ぶときにはイメージしやすく、\n復習するときには思い出しやすくなるよう、\n基本的な26のアルゴリズム＋7つのデータ構造を\nすべてイラストにしています。\n\nソートやグラフなどの「動き」を図で追うことで、\n考え方や仕組みを理解する手助けをします。\nよいプログラムを書くために知っておかなきゃいけない\nアルゴリズムの世界を、楽しく学びましょう。\n\n●書籍のもとになったアプリ「アルゴリズム図鑑」の実績\n・50万ダウンロード達成（2017年4月時点）\n・2016年 App Store「今年のベストApp 10選」に選出\n\n【目次（抜粋）】\n●序章 アルゴリズムの基本\n●第1章 データ構造\n・リスト\n・配列\n・スタック など\n\n●第2章 ソート\n・バブルソート\n・選択ソート\n・マージソート など\n\n●第3章 配列の探索\n・線形探索\n・2分探索\n\n●第4章 グラフ探索\n・幅優先探索\n・ベルマン-フォード法\n・A* など\n\n●第5章 セキュリティのアルゴリズム\n・暗号の基本\n・公開鍵暗号方式\n・デジタル署名 など\n\n●第6章 クラスタリング\n・k-means法 など\n\n●第7章 その他のアルゴリズム\n・ユークリッドの互除法\n・ページランク など,翔泳社,技術書,アルゴリズム,1
21,図解まるわかり セキュリティのしくみ,EG000021,増井 敏克  (著),攻撃や対策、組織体制もすべて図解\n確かな知識がつく「使える教科書」\n\n【本書のポイント】\n・解説とイラストがセットで理解しやすい\n・考え方から技術、運用方法までを網羅\n・キーワードから知りたい項目を調べやすい\n・管理者にも開発者にも役立つ基本がわかる\n\n【こんな人におすすめ】\n・企業においてセキュリティ対策をしたい人\n・セキュリティを考慮したシステムを開発したい人\n・個人情報の管理における注意点を知りたい人 \n・セキュリティ関連の資格試験を受ける人\n・自身のセキュリティを高める必要を感じている人\n\n【内容紹介】\n企業におけるセキュリティでは、\n小さなことでも気づいたことを\n少しずつ改善していく、\nその積み重ねが大切です。\n\nそこで、本書では見開きで\n1つのテーマを取り上げ、\n図解を交えて解説しています。\n\n最初から順に読んで\n体系的な知識を得るのはもちろん、\n気になるテーマやキーワードに\n注目しながら読むなど、\n状況に合わせて活用してください。\n\n【目次】\n第1章　セキュリティの基本的な考え方 ～分類して考える～\n第2章　ネットワークを狙った攻撃 ～招かれざる訪問者～\n第3章　ウイルスとスパイウェア ～感染からパンデミックへ～\n第4章　脆弱性への対応 ～不備を狙った攻撃～\n第5章　暗号／署名／証明書とは ～秘密を守る技術～\n第6章　組織的な対応 ～環境の変化に対応する～\n第7章　セキュリティ関連の法律・ルールなど ～知らなかったでは済まされない～,翔泳社,技術書,セキュリティ,1
22,SQL 第2版 ゼロからはじめるデータベース操作,EG000022,ミック  (著),大好評のSQL定番入門書が改訂！　SQLの書き方からアプリでの利用までしっかり学ぼう！\n\nプログラミング学習シリーズ『SQL ゼロからはじめるデータベース操作』は、「データベースやSQLがはじめて」という初心者を対象に、プロのデータベース（DB）エンジニアである著者がSQLの基礎とコツをやさしく丁寧に教える入門書です。\nDB／テーブルの構造から、データを検索したり更新したりする構文、よく使う関数、テーブルの結合など、SQLによるデータベース操作の基本を学習していきます。WHERE句、GROUP BY句、HAVING句やサブクエリなど、SQLを使いこなすためのポイントとなる機能や、初心者にとって理解が難しい部分は、豊富な図とサンプルプログラムでかみくだいて解説しています。\nまた、標準SQLをベースに、各種DB（Oracle、SQL Server、DB2、PostgreSQL、MySQL）での違いや、初心者がハマりやすいポイント、基礎ノウハウについてもしっかり解説。\n第2版では、解説・サンプルコードを最新DBのSQLに対応したほか、（PostgreSQLを例に）アプリケーションプログラムからSQLを実行する方法の解説章を新設。SQLの書き方だけはなく、アプリケーションでの利用方法までフォローします。\nデータベースを扱うアプリを作りたいが何から学習すれば良いかわからない、きちんとSQLを書けるようになりたい、現場で通用する基礎を身につけたい、という方におすすめの1冊です。,翔泳社,技術書,RDB SQL,1
23,達人に学ぶDB設計 徹底指南書,EG000023,ミック  (著),DB設計の基礎と実践ノウハウが身につく一冊\n本書は、好評を博した『達人に学ぶ SQL徹底指南書』の続編という位置づけで、プロのデータベース（DB）エンジニアである著者が、DB設計の基礎と実践ノウハウをやさしく手ほどきする指南書です。初級者が押さえておくべきDB設計の基礎知識やポイント、正規化／非正規化のケーススタディ、テーブル設計のやってはいけないバッドノウハウ、注意すべきグレーノウハウなどを丁寧に解説します。豊富なサンプルと練習問題で、現場で通用する実践的な力が身につきます。DBエンジニアを目指す人、DB設計の基礎と実践をしっかり学びたい人、脱初級を目指すアプリケーション開発者やDBエンジニアなど、DB設計・開発に携わるすべての方におすすめの一冊です。,翔泳社,技術書,RDB DB設計,1
24,SQL実践入門 ──高速でわかりやすいクエリの書き方 WEB+DB PRESS plus,EG000024,ミック  (著),（概要）\nSQLはデータベース操作に特化した言語で，柔軟にデータを操作できます。ただし，独自のロジックに基づいているため，それを正しく理解しなければ，読みづらくパフォーマンスの出ないSQLになってしまいます。本書では，「条件分岐」「集約」「ループ」「結合」「更新」など日常的に実行する処理の良い書き方・悪い書き方を解説します。その際，データベース内部でどう処理が実行されているかを示す実行計画を読み解くことで，「なぜそう書くと効率が良いのか」「可読性や保守性が向上するのか」を実感を持って理解することを目指します。\n\n(こんな方にオススメ)\n・データベースに触れる機会の多いWebアプリケーションエンジニア\n・データベースエンジニア\n\n（目次）\n第1章　DBMSのアーキテクチャ──この世にただ飯はあるか\n\n第2章　SQLの基礎──母国語を話すがごとく\n\n第3章　SQLにおける条件分岐──文から式へ\n\n第4章　集約とカット──集合の世界\n\n第5章　ループ──手続き型の呪縛\n\n第6章　結合──結合を制する者はSQLを制す\n\n第7章　サブクエリ──困難は分割するべきか\n\n第8章　SQLにおける順序──甦る手続き型\n\n第9章　更新とデータモデル──盲目のスーパーソルジャー\n\n第10章　インデックスを使いこなす──秀才の弱点\n\nAppendix A：PostgreSQLのインストールと起動\n\nAppendix B：演習問題の解答\n,技術評論社,技術書,RDB SQL,1
25,失敗から学ぶRDBの正しい歩き方 Software Design plus,EG000025,曽根 壮大  (著),（概要）\n「データベースがよく落ちる」「前任者が残したテーブル，SQLが読み解けない」「RDBMSを入れ替えたら予期せぬバグが」――MySQLやPostgreSQLといったRDBMS（リレーショナルデータベース管理システム）を使った業務システム，Webサービスを設計・運用していると，こういった問題によく直面するのではないでしょうか。\n本書はRDB（リレーショナルデータベース）の間違った使い方（＝アンチパターン）を紹介しながら，アンチパターンを生まないためのノウハウを解説します。それぞれの章では，問題解決に必要なRDBやSQLの基礎知識も押さえるので，最近RDBMSを触り始めた新人の方にもお勧めです。\n\n（こんな方におすすめ）\n・MySQLやPostgreSQLを使ったシステム・サービスを設計・運用していて，原因のわからない障害によく出くわす人，そしてそれを改善したい人\n\n（目次）\n第1章　データベースの迷宮\n\n第2章　失われた事実\n\n第3章　やり過ぎたJOIN\n\n第4章　効かないINDEX\n\n第5章　フラグの闇\n\n第6章　ソートの依存\n\n第7章　隠された状態\n\n第8章　JSONの甘い罠\n\n第9章　強過ぎる制約\n\n第10章　転んだ後のバックアップ\n\n第11章　見られないエラーログ\n\n第12章　監視されないデータベース\n\n第13章　知らないロック\n\n第14章　ロックの功罪\n\n第15章　簡単過ぎる不整合\n\n第16章　キャッシュ中毒\n\n第17章　複雑なクエリ\n\n第18章　ノーチェンジ・コンフィグ\n\n第19章　塩漬けのバージョン\n\n第20章　フレームワーク依存症,技術評論社,技術書,RDB DB設計 アンチパターン,1
